========= NEW RUN
This graph contains 8297 nodes connected by 103689 edges
Set constant probability: 0.01
influence of node 91: 1
influence of node 92: 1
influence of node 93: 5
influence of node 95: 1347
influence of node 98: 1214
influence of node 100: 1112
influence of node 102: 1143
influence of node 103: 1058
influence of node 104: 1126
influence of node 108: 1091
influence of node 109: 1241
influence of node 110: 1
influence of node 112: 1464
influence of node 116: 1
influence of node 121: 1475
influence of node 123: 1
influence of node 124: 1257
influence of node 126: 1177
influence of node 127: 1171
influence of node 129: 1
influence of node 131: 1335
influence of node 134: 1
influence of node 135: 1285
influence of node 137: 1205
influence of node 138: 1
influence of node 139: 1249
influence of node 140: 1
influence of node 141: 3
influence of node 142: 1331
influence of node 144: 1
influence of node 146: 1170
influence of node 149: 1043
influence of node 150: 994
influence of node 151: 981
influence of node 153: 934
influence of node 154: 1004
influence of node 155: 1050
influence of node 156: 1089
influence of node 157: 2
influence of node 160: 1312
influence of node 162: 2
influence of node 165: 1439
influence of node 170: 1212
influence of node 171: 1097
influence of node 172: 1093
influence of node 175: 1133
influence of node 176: 1
influence of node 177: 1198
influence of node 179: 1232
influence of node 181: 1316
influence of node 186: 1274
influence of node 187: 1243
influence of node 190: 3
influence of node 191: 1223
influence of node 192: 1418
influence of node 194: 1
influence of node 196: 1
influence of node 198: 1300
influence of node 200: 1197
influence of node 202: 1237
influence of node 203: 2
influence of node 204: 1332
influence of node 214: 1647
influence of node 215: 2
influence of node 220: 1
influence of node 222: 1
influence of node 226: 1409
influence of node 229: 1274
influence of node 230: 1249
influence of node 231: 4
influence of node 235: 1127
influence of node 236: 1159
influence of node 237: 1168
influence of node 239: 1315
influence of node 240: 1
influence of node 246: 1
influence of node 250: 1
influence of node 253: 1
influence of node 254: 1531
influence of node 258: 1496
influence of node 259: 1
influence of node 264: 2
influence of node 267: 1356
influence of node 268: 1262
influence of node 272: 1422
influence of node 274: 1337
influence of node 275: 1
influence of node 279: 1518
influence of node 281: 2
influence of node 284: 2
influence of node 287: 1
influence of node 289: 1474
influence of node 290: 1340
influence of node 291: 7
influence of node 293: 1
influence of node 295: 1
influence of node 301: 1
influence of node 302: 1269
influence of node 303: 1095
influence of node 304: 1
influence of node 305: 1012
influence of node 306: 967
influence of node 307: 880
influence of node 309: 904
influence of node 310: 889
influence of node 311: 977
influence of node 312: 895
influence of node 314: 1090
influence of node 316: 1195
influence of node 317: 2
influence of node 318: 1239
influence of node 319: 1
influence of node 320: 1224
influence of node 323: 1
influence of node 324: 1206
influence of node 326: 1243
influence of node 327: 1230
influence of node 330: 1
influence of node 333: 1259
influence of node 334: 1207
influence of node 335: 7
influence of node 337: 1
influence of node 338: 1091
influence of node 339: 1134
influence of node 340: 1068
influence of node 344: 1198
influence of node 345: 1221
influence of node 346: 1
influence of node 347: 1229
influence of node 350: 3
influence of node 351: 1487
influence of node 355: 1
influence of node 363: 1
influence of node 365: 1
influence of node 370: 1530
influence of node 375: 1564
influence of node 382: 1608
influence of node 386: 1
influence of node 394: 8
influence of node 397: 1
influence of node 398: 1367
influence of node 399: 1328
influence of node 402: 1220
influence of node 404: 1
influence of node 405: 1280
influence of node 406: 1228
influence of node 409: 2
influence of node 411: 1356
influence of node 416: 1588
influence of node 422: 1
influence of node 424: 1458
influence of node 425: 1382
influence of node 428: 1
influence of node 431: 1612
influence of node 444: 1591
influence of node 446: 8
influence of node 448: 1473
influence of node 456: 1692
influence of node 464: 1
influence of node 468: 1639
influence of node 478: 1668
influence of node 488: 1
influence of node 491: 1
influence of node 494: 7
influence of node 500: 2
influence of node 506: 1
influence of node 520: 1
influence of node 521: 1
influence of node 524: 1
influence of node 530: 1
influence of node 531: 1637
influence of node 535: 1
influence of node 544: 1376
influence of node 545: 1355
influence of node 550: 1340
influence of node 552: 1347
influence of node 554: 2
influence of node 555: 1391
influence of node 559: 1
influence of node 560: 1379
influence of node 563: 1541
influence of node 570: 1
influence of node 578: 1
influence of node 579: 1567
influence of node 581: 1
influence of node 582: 1326
influence of node 585: 2
influence of node 586: 1171
influence of node 587: 1267
influence of node 589: 1288
influence of node 599: 1392
influence of node 600: 1346
influence of node 603: 1
influence of node 605: 1523
influence of node 613: 1
influence of node 614: 2
influence of node 625: 1594
influence of node 632: 1177
influence of node 633: 1152
influence of node 634: 1101
influence of node 635: 1059
influence of node 636: 1
influence of node 638: 1216
influence of node 642: 1227
influence of node 643: 1101
influence of node 644: 2
influence of node 645: 14
influence of node 646: 1124
influence of node 648: 1238
influence of node 649: 1357
influence of node 650: 1
influence of node 653: 1
influence of node 658: 1
influence of node 662: 1632
influence of node 663: 1
influence of node 665: 1
influence of node 666: 2
influence of node 667: 1
influence of node 672: 1475
influence of node 673: 1464
influence of node 677: 1
influence of node 678: 1
influence of node 681: 3
influence of node 683: 2
influence of node 685: 1347
influence of node 687: 1353
influence of node 688: 6
influence of node 690: 1344
influence of node 694: 1432
influence of node 695: 2
influence of node 696: 1442
influence of node 697: 2
influence of node 698: 1
influence of node 703: 1024
influence of node 704: 1058
influence of node 705: 945
influence of node 706: 943
influence of node 707: 1047
influence of node 709: 1147
influence of node 711: 1299
influence of node 720: 1443
influence of node 721: 1449
influence of node 726: 2
influence of node 729: 6
influence of node 732: 1
influence of node 733: 1
influence of node 735: 1
influence of node 736: 1605
influence of node 741: 1547
influence of node 748: 1510
influence of node 753: 1433
influence of node 758: 1211
influence of node 759: 1154
influence of node 761: 997
influence of node 762: 1044
influence of node 763: 895
influence of node 765: 1067
influence of node 767: 1057
influence of node 768: 1266
influence of node 769: 1
influence of node 779: 1403
influence of node 781: 1246
influence of node 783: 1120
influence of node 786: 1099
influence of node 787: 1065
influence of node 788: 1057
influence of node 790: 1024
influence of node 793: 1215
influence of node 794: 3
influence of node 795: 1342
influence of node 797: 1
influence of node 801: 1353
influence of node 802: 4
influence of node 803: 1204
influence of node 804: 1237
influence of node 807: 1155
influence of node 809: 1215
influence of node 812: 1235
influence of node 813: 1
influence of node 815: 1414
influence of node 819: 1
influence of node 821: 1379
influence of node 824: 1340
influence of node 825: 1227
influence of node 826: 1
influence of node 830: 1388
influence of node 835: 1395
influence of node 837: 3
influence of node 840: 1280
influence of node 841: 1291
influence of node 843: 1319
influence of node 849: 1
influence of node 851: 1461
influence of node 852: 1
influence of node 853: 1241
influence of node 855: 1099
influence of node 858: 971
influence of node 859: 1046
influence of node 860: 1000
influence of node 862: 1135
influence of node 864: 1267
influence of node 868: 1216
influence of node 869: 1228
influence of node 870: 1
influence of node 871: 2
influence of node 872: 1368
influence of node 878: 1518
influence of node 881: 1524
influence of node 884: 1
influence of node 894: 3
influence of node 895: 2
influence of node 898: 1610
influence of node 903: 1542
influence of node 906: 2
influence of node 908: 3
influence of node 910: 1401
influence of node 911: 1367
influence of node 913: 1
influence of node 917: 1293
influence of node 919: 1306
influence of node 921: 1371
influence of node 925: 3
influence of node 927: 1662
influence of node 932: 2
influence of node 936: 1531
influence of node 940: 1307
influence of node 942: 1032
influence of node 943: 903
influence of node 945: 1088
influence of node 946: 1073
influence of node 947: 1088
influence of node 948: 2
influence of node 949: 2
influence of node 950: 4
influence of node 953: 1354
influence of node 955: 1345
influence of node 958: 1457
influence of node 959: 2
influence of node 960: 1
influence of node 962: 1
influence of node 966: 10
influence of node 967: 1
influence of node 969: 2
influence of node 970: 1437
influence of node 973: 1281
influence of node 974: 1206
influence of node 977: 1337
influence of node 981: 1230
influence of node 983: 1253
influence of node 985: 1251
influence of node 987: 1265
influence of node 992: 1151
influence of node 993: 1220
influence of node 995: 1069
influence of node 997: 1049
influence of node 998: 1
influence of node 999: 1073
influence of node 1001: 1026
influence of node 1002: 1031
influence of node 1003: 932
influence of node 1005: 1070
influence of node 1007: 1104
influence of node 1008: 1224
influence of node 1017: 1
influence of node 1021: 1509
influence of node 1022: 1
influence of node 1023: 1384
========= GPU ELAPSED TIME: 4867.583008 ms

